Index,Book Name,Author,Rating,Number of Votes,Score
118,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly Jackson,4.21,"421,594",1634
119,"Beautiful World, Where Are You",Sally Rooney,3.53,"421,651",1609
120,The Woman in Me,Britney Spears,3.86,"474,778",1599
121,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,3.80,"243,285",1567
122,"Harlem Shuffle (Ray Carney, #1)",Colson Whitehead,3.74,"73,649",1527
123,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,3.82,"90,856",1495
124,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,4.10,"93,564",1491
125,"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,4.39,"117,395",1471
126,"The Atlas Six (The Atlas, #1)",Olivie Blake,3.58,"230,850",1460
127,"Six Crimson Cranes (Six Crimson Cranes, #1)",Elizabeth Lim,4.20,"86,158",1424
128,Apples Never Fall,Liane Moriarty,3.76,"389,697",1391
129,"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,3.80,"62,547",1371
130,Fairy Tale,Stephen King,4.10,"273,621",1341
131,"Iron Widow (Iron Widow, #1)",Xiran Jay Zhao,4.06,"90,950",1320
132,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,4.29,"73,530",1303
133,Solutions and Other Problems,Allie Brosh,4.21,"37,278",1287
134,"Things We Never Got Over (Knockemout, #1)",Lucy Score,4.15,"889,408",1268
135,"Black Sun (Between Earth and Sky, #1)",Rebecca Roanhorse,4.19,"47,693",1262
136,The Lost Apothecary,Sarah Penner,3.75,"405,378",1244
137,"Love, Theoretically",Ali Hazelwood,4.10,"471,595",1227
138,"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson,3.99,"71,887",1215
139,"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman,4.37,"259,900",1199
140,"The Past (VanWest, #1)",Kenneth Thomas,3.90,786,1180
141,Small Things Like These,Claire Keegan,4.18,"195,799",1172
142,Reminders of Him,Colleen Hoover,4.36,"1,334,026",1161
143,"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,3.73,"269,311",1153
144,The Maidens,Alex Michaelides,3.62,"369,956",1145
145,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,3.86,"78,185",1142
146,"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,4.49,"149,651",1115
147,The Personal Librarian,Marie Benedict,4.05,"186,169",1102
148,The Sentence,Louise Erdrich,3.95,"73,536",1099
149,"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell,4.12,"57,191",1075
150,"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4.51,"290,691",1074
151,"The Present (VanWest, #2)",Kenneth Thomas,3.64,"2,302",1065
152,"Dial A for Aunties (Aunties, #1)",Jesse Q. Sutanto,3.71,"101,764",1065
153,"Ruthless Vows (Letters of Enchantment, #2)",Rebecca Ross,4.04,"269,404",1061
154,"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,4.20,"484,861",1053
155,"Empire of the Vampire (Empire of the Vampire, #1)",Jay Kristoff,4.35,"55,072",1051
156,"Spoiler Alert (Spoiler Alert, #1)",Olivia Dade,3.64,"47,965",1042
157,The Shadows,Alex North,3.74,"59,487",1038
158,Our Missing Hearts,Celeste Ng,3.80,"190,096",1019
159,Code Name Hélène,Ariel Lawhon,4.41,"51,044",1009
160,"The Charm Offensive (The Charm Offensive, #1)",Alison Cochrun,4.13,"69,720",1001
161,The Travelers Within: Into The Unknown,Daniel Mode,4.10,128,997
162,"Come Tumbling Down (Wayward Children, #5)",Seanan McGuire,3.91,"27,246",979
163,Fangs,Sarah Andersen,4.23,"46,288",975
164,Rodham,Curtis Sittenfeld,3.83,"46,307",973
165,"Finlay Donovan Is Killing It (Finlay Donovan, #1)",Elle Cosimano,4.01,"188,061",971
166,Swimming in the Dark,Tomasz Jedrowski,4.26,"53,099",959
167,"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,4.43,"201,327",956
168,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,3.96,"126,237",949
169,Bride,Ali Hazelwood,4.03,"400,737",934
170,"The Space Between Worlds (The Space Between Worlds, #1)",Micaiah Johnson,3.94,"40,293",932
171,Redhead by the Side of the Road,Anne Tyler,3.61,"46,972",923
172,Horse,Geraldine Brooks,4.27,"155,447",923
173,The Heaven & Earth Grocery Store,James McBride,3.98,"221,993",912
174,Betty,Tiffany McDaniel,4.41,"41,349",908
175,"Concrete Rose (The Hate U Give, #0)",Angie Thomas,4.39,"61,891",901
176,"Bookshops & Bonedust (Legends & Lattes, #0)",Travis Baldree,4.18,"67,965",901
177,The Last Train to Key West (The Perez Family #3),Chanel Cleeton,4.10,"37,544",898
178,The Island of Missing Trees,Elif Shafak,4.15,"120,626",897
179,The Reading List,Sara Nisha Adams,4.07,"112,151",890
180,"Boyfriend Material (London Calling, #1)",Alexis Hall,4.01,"138,486",880
181,One Last Stop,Casey McQuiston,3.92,"252,775",880
182,If It Bleeds,Stephen King,3.98,"105,591",868
183,"Bloodmarked (The Legendborn Cycle, #2)",Tracy Deonn,4.31,"63,690",850
184,"The Chalice of the Gods (Percy Jackson and the Olympians, #6)",Rick Riordan,4.31,"92,474",849
185,Notes on an Execution,Danya Kukafka,4.07,"106,086",837
186,The Seven Year Slip,Ashley Poston,4.21,"293,714",830
187,The Dead Romantics,Ashley Poston,3.93,"187,627",823
188,"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,4.12,"351,436",823
189,"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,3.94,"119,904",822
190,The Premonition: A Pandemic Story,Michael Lewis,4.33,"40,688",820
191,"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty,4.27,"55,504",813
192,The Answer Is…: Reflections on My Life,Alex Trebek,4.20,"31,634",812
193,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,3.94,"616,694",812
194,"The Hourglass Throne (The Tarot Sequence, #3)",K.D. Edwards,4.57,"5,109",794
195,Grown,Tiffany D. Jackson,4.25,"35,763",785
196,The Once and Future Witches,Alix E. Harrow,4.04,"90,008",778
197,House of Hollow,Krystal Sutherland,4.03,"85,904",778
198,Razorblade Tears,S.A. Cosby,4.10,"103,430",767
199,One by One,Ruth Ware,3.73,"197,999",763
200,I Must Betray You,Ruta Sepetys,4.41,"78,352",757
201,Still Life,Sarah Winman,4.17,"74,733",756
202,The Only Good Indians,Stephen Graham Jones,3.70,"88,834",754
203,Later,Stephen King,3.97,"133,194",749
204,"The Galaxy, and the Ground Within (Wayfarers, #4)",Becky Chambers,4.41,"35,228",748
205,The Cartographers,Peng Shepherd,3.63,"70,230",739
206,"Troubled Blood (Cormoran Strike, #5)",Robert Galbraith,4.37,"132,940",736
207,Five Survive,Holly Jackson,4.07,"181,754",735
208,"Neon Gods (Dark Olympus, #1)",Katee Robert,3.70,"266,353",731
209,A Wizard’s Guide to Defensive Baking,T. Kingfisher,4.09,"48,236",725
210,Once There Were Wolves,Charlotte McConaghy,4.10,"92,265",725
211,A Flicker in the Dark,Stacy Willingham,3.99,"460,105",723
212,"Delilah Green Doesn't Care (Bright Falls, #1)",Ashley Herring Blake,4.08,"96,718",717
213,"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,4.37,"199,015",707
214,Finding Me,Viola Davis,4.55,"137,045",704
215,Mad Honey,Jodi Picoult,4.08,"467,575",704
216,The Only One Left,Riley Sager,4.14,"351,979",701
217,The Ickabog,J.K. Rowling,3.91,"49,922",694
218,"Yours Truly (Part of Your World, #2)",Abby Jimenez,4.32,"488,051",692
219,Leaving Isn't the Hardest Thing,Lauren Hough,3.40,"10,302",690
220,Spare,Prince Harry,3.85,"384,546",682
221,"Troy (Stephen Fry's Great Mythology, #3)",Stephen Fry,4.35,"33,416",681
222,Afterlife,Julia Alvarez,3.70,"16,942",679
223,"The Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,4.17,"349,236",678
224,The Kitchen Front,Jennifer Ryan,3.97,"29,720",676
225,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,3.92,"309,986",674
226,Wrong Place Wrong Time,Gillian McAllister,3.99,"363,629",674
227,"Our Violent Ends (These Violent Delights, #2)",Chloe Gong,4.30,"69,516",670
228,The Witch's Heart,Genevieve Gornichec,4.05,"53,989",660
229,"A Desolation Called Peace (Teixcalaan, #2)",Arkady Martine,4.32,"30,763",657
230,The One Hundred Years of Lenni and Margot,Marianne Cronin,4.30,"107,376",655
231,In the Lives of Puppets,T.J. Klune,3.92,"76,949",655
232,The Lives of Saints,Leigh Bardugo,3.94,"24,409",653
233,The Happiest Man on Earth,Eddie Jaku,4.62,"91,666",651
234,"The First to Die at the End (Death-Cast, #0)",Adam Silvera,4.01,"95,606",650
235,Blacktop Wasteland,S.A. Cosby,4.08,"44,077",649
236,"Powerless (The Powerless Trilogy, #1)",Lauren Roberts,4.21,"423,623",644
237,The Final Girl Support Group,Grady Hendrix,3.52,"151,313",643
238,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,4.18,"136,554",643
239,The Covenant of Water,Abraham Verghese,4.44,"213,803",643
240,How to Sell a Haunted House,Grady Hendrix,3.67,"120,137",641
241,The Very Secret Society of Irregular Witches,Sangu Mandanna,4.10,"207,665",641
242,It Starts with Us (It Ends with Us #2),Colleen Hoover,3.86,"1,750,185",639
243,"The Sun and the Star: A Nico di Angelo Adventure (Camp Half-Blood Chronicles, #17)",Rick Riordan,4.23,"42,440",630
244,The Bodyguard,Katherine Center,3.97,"291,639",627
245,"Detransition, Baby",Torrey Peters,3.94,"82,275",622
246,Matrix,Lauren Groff,3.68,"60,656",618
247,The Vanished Birds,Simon Jimenez,4.07,"8,543",613
248,"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman,4.49,"155,145",610
249,When We Cease to Understand the World,Benjamín Labatut,4.13,"43,868",607
250,"Paladin's Grace (The Saint of Steel, #1)",T. Kingfisher,4.12,"25,341",603
251,Maame,Jessica George,4.06,"102,451",587
252,The Searcher,Tana French,3.80,"139,575",583
253,"Daughter of the Moon Goddess (The Celestial Kingdom, #1)",Sue Lynn Tan,4.10,"97,943",578
254,Big Lies in a Small Town,Diane Chamberlain,4.14,"95,155",577
255,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,4.15,"115,678",574
256,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,4.06,"402,975",571
257,Vagina Problems,Lara Parker,3.74,"1,136",568
258,No One Is Talking About This,Patricia Lockwood,3.55,"50,469",567
259,Gallant,Victoria Schwab,3.71,"122,997",565
260,How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint Smith,4.71,"35,119",564
261,If I Never Met You,Mhairi McFarlane,3.81,"66,811",554
262,"All the Stars and Teeth (All the Stars and Teeth, #1)",Adalyn Grace,3.66,"33,907",554
263,The Gilded Ones,Namina Forna,4.24,"51,257",552
264,They Went Left,Monica Hesse,4.12,"14,679",551
265,"The Ink Black Heart (Cormoran Strike, #6)",Robert Galbraith,4.12,"99,593",549
266,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,4.48,"79,578",547
267,Head Over Heels,Hannah Orenstein,3.59,"21,292",543
268,"Hollowpox: The Hunt for Morrigan Crow (Nevermoor, #3)",Jessica Townsend,4.48,"24,890",543
269,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,4.31,"76,534",543
270,"Magnolia Parks (Magnolia Parks Universe, #1)",Jessa Hastings,3.73,"164,593",542
271,Our Wives Under the Sea,Julia Armfield,3.77,"85,107",540
272,"Part of Your World (Part of Your World, #1)",Abby Jimenez,4.29,"435,364",540
273,"Practice Makes Perfect (When in Rome, #2)",Sarah Adams,4.01,"152,656",539
274,Seven Days in June,Tia Williams,4.02,"176,125",537
275,What You Wish For,Katherine Center,3.78,"58,694",527
276,The Mountains Sing,Nguyễn Phan Quế Mai,4.32,"49,423",526
277,Killers of a Certain Age,Deanna Raybourn,3.86,"98,346",523
278,The Writing Retreat,Julia Bartz,3.42,"64,910",522
279,The Mystery of Mrs. Christie,Marie Benedict,3.74,"42,995",515
280,"All the Devils Are Here (Chief Inspector Armand Gamache, #16)",Louise Penny,4.43,"73,566",511
281,"Across the Green Grass Fields (Wayward Children, #6)",Seanan McGuire,3.80,"21,584",507
282,True Biz,Sara Nović,4.08,"71,693",501
283,Olga Dies Dreaming,"Xóchitl González",3.98,"68,150",500
284,Pretty Things,Janelle Brown,3.90,"82,519",498
285,Take My Hand,Dolen Perkins-Valdez,4.37,"88,538",491
286,"Four Hundred Souls: A Community History of African America, 1619-2019",Ibram X. Kendi,4.56,"10,350",490
287,Clytemnestra,Costanza Casati,4.25,"33,918",486
288,"Amari and the Night Brothers (Supernatural Investigations, #1)",B.B. Alston,4.37,"31,764",485
289,Hotel Magnifique,Emily J. Taylor,3.77,"27,050",485
290,"Deathless Divide (Dread Nation, #2)",Justina Ireland,4.16,"11,857",480
291,"Hell Bent (Alex Stern, #2)",Leigh Bardugo,4.13,"140,793",477
292,When No One Is Watching,Alyssa Cole,3.49,"101,226",476
293,Winter’s Orbit,Everina Maxwell,3.99,"24,914",475
294,The Mercies,Kiran Millwood Hargrave,4.01,"46,412",472
295,The People We Keep,Allison Larkin,4.10,"95,198",471
296,A Good Neighborhood,Therese Anne Fowler,3.81,"56,076",470
297,"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc Tran,4.30,"9,133",470
298,"World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments",Aimee Nezhukumatathil,4.06,"21,243",469
299,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,4.41,"87,757",466
300,"The Plot (The Book Series, #1)",Jean Hanff Korelitz,3.82,"120,874",465
301,Hello Beautiful,Ann Napolitano,4.15,"389,552",464
302,"Ember Queen (Ash Princess Trilogy, #3)",Laura Sebastian,4.02,"26,507",461
303,"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,4.21,"428,495",461
304,Valentine,Elizabeth Wetmore,3.76,"42,423",460
305,"Dolly Parton, Songteller: My Life in Lyrics",Dolly Parton,4.03,"24,870",458
306,"Icebreaker (UCMH, #1)",Hannah Grace,3.82,"946,697",457
307,The Echo Wife,Sarah Gailey,3.61,"34,686",455
308,The Paper Palace,Miranda Cowley Heller,3.80,"348,662",451
309,The Woman with the Blue Star,Pam Jenoff,4.15,"32,582",450
310,"ReDawn (Skyward, #2.2)",Brandon Sanderson,4.17,"19,360",450
311,"Better than the Movies (Better than the Movies, #1)",Lynn Painter,4.29,"476,912",449
312,"The Lost and Found Bookshop (Bella Vista Chronicles, #3)",Susan Wiggs,3.92,"38,563",447
313,Yes No Maybe So,Becky Albertalli,3.73,"27,213",442
314,A Burning,Megha Majumdar,3.73,"50,904",440
315,"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan,4.49,"72,399",439
316,The Night Shift,Alex Finlay,3.91,"68,749",438
317,Big Summer,Jennifer Weiner,3.59,"143,362",438
318,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,4.01,"121,239",438
319,"War Lord (The Saxon Stories, #13)",Bernard Cornwell,4.60,"13,920",437
320,Cleopatra and Frankenstein,Coco Mellors,3.73,"149,368",437
321,Beyond the Wand: The Magic & Mayhem of Growing Up a Wizard,Tom Felton,4.29,"127,158",436
322,The Library of Legends,Janie Chang,3.79,"10,686",432
323,"The Hand on the Wall (Truly Devious, #3)",Maureen Johnson,4.13,"83,526",429
324,James,Percival Everett,4.53,"86,313",428
325,Young Mungo,Douglas Stuart,4.38,"67,559",426
326,Nettle & Bone,T. Kingfisher,4.13,"93,511",424
327,Remote Control,Nnedi Okorafor,3.85,"17,576",422
328,"A Magic Steeped in Poison (The Book of Tea, #1)",Judy I. Lin,3.82,"31,087",421
329,"Stamped: Racism, Antiracism, and You",Jason Reynolds,4.48,"52,408",418
330,Lady Clementine,Marie Benedict,3.84,"29,152",417
331,Lady Tan’s Circle of Women,Lisa See,4.35,"129,061",416
332,"Poverty, by America",Matthew Desmond,4.27,"44,703",409
333,"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,4.34,"40,311",404
334,"The Last Graduate (The Scholomance, #2)",Naomi Novik,4.25,"110,188",402
335,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,4.14,"59,433",400
336,Monsters Born and Made,Tanvi Berwah,3.47,"3,026",399
337,The Ferryman,Justin Cronin,3.92,"33,962",397
338,My Government Means to Kill Me,Rasheed Newson,4.25,"5,360",394
339,The Paris Library,Janet Skeslien Charles,4.07,"129,968",392
340,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,4.17,"216,069",388
341,All Rhodes Lead Here,Mariana Zapata,4.26,"132,687",385
342,Sharks in the Time of Saviors,Kawai Strong Washburn,3.84,"19,716",384
343,The Nineties,Chuck Klosterman,3.87,"27,176",382
344,Icebreaker,A.L. Graziadei,4.03,"17,184",382
345,Tom Lake,Ann Patchett,3.98,"357,372",381
346,Sin Eater,Megan Campisi,3.61,"12,716",377
347,"Defiant (Skyward, #4)",Brandon Sanderson,4.33,"26,614",377
348,Navigate Your Stars,Jesmyn Ward,4.19,"3,442",376
349,"Lords of Mercy (Royals of Forsyth University, #3)",Angel Lawson,4.26,"23,768",376
350,Summer Snow: New Poems,Robert Hass,3.69,338,375
351,The Colony,Audrey Magee,4.11,"10,492",375
352,"Life’s Too Short (The Friend Zone, #3)",Abby Jimenez,4.16,"166,463",374
353,The Knockout Queen,Rufi Thorpe,3.71,"12,746",372
354,All This Time,Mikki Daughtry,3.90,"45,985",372
355,Go as a River,Shelley Read,4.28,"109,979",371
356,The Burning Girls,C.J. Tudor,4.02,"44,560",369
357,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,4.03,"55,732",368
358,One Italian Summer,Rebecca Serle,3.59,"246,868",367
359,Hani and Ishu’s Guide to Fake Dating,Adiba Jaigirdar,4.09,"33,536",367
360,Postcolonial Love Poem,Natalie Díaz,4.33,"7,283",365
361,Utopia Avenue,David Mitchell,4.31,"24,806",365
362,The Chosen and the Beautiful,Nghi Vo,3.55,"17,409",364
363,"Finna (LitenVerse, #1)",Nino Cipri,3.65,"10,999",364
364,"A Deal with the Elf King (Married to Magic, #1)",Elise Kova,3.72,"103,324",364
365,"The Will of the Many (Hierarchy, #1)",James Islington,4.62,"59,001",364
366,My Evil Mother,Margaret Atwood,3.89,"80,033",361
367,"Twisted Games (Twisted, #2)",Ana Huang,4.10,"749,768",361
368,She Drives Me Crazy,Kelly Quindlen,3.96,"69,706",361
